voting_id,total_favor,total_contra,total_absent,is_approved
48750,122,20,18,True
48752,122,20,18,True
48753,129,14,17,True
48754,132,13,15,True
48755,130,15,15,True
48757,132,14,14,True
48759,132,16,12,True
48760,128,20,12,True
48761,131,17,12,True
48763,138,5,17,True
48764,140,6,14,True
48765,34,111,15,False
48768,113,18,29,True
48769,131,14,15,True
48770,130,15,15,True
48771,126,20,14,True
48772,111,24,25,True
48773,124,23,13,True
48774,135,11,14,True
48780,118,5,37,True
48781,118,6,36,True
48782,85,18,57,True
48783,92,16,52,True
48784,87,20,53,True
48785,100,12,48,True
48786,101,11,48,True
48787,92,20,48,True
48788,99,14,47,True
48789,99,15,46,True
48790,105,12,43,True
48791,114,7,39,True
48792,115,7,38,True
48793,105,17,38,True
48794,102,20,38,True
48795,108,14,38,True
48796,113,9,38,True
48797,110,11,39,True
48798,102,19,39,True
48799,117,5,38,True
48800,113,9,38,True
48801,117,5,38,True
48802,108,14,38,True
48803,112,11,37,True
48804,109,12,39,True
48805,115,7,38,True
48806,109,13,38,True
48809,111,12,37,True
48811,126,6,28,True
48812,128,6,26,True
48813,130,6,24,True
48814,130,6,24,True
48815,125,11,24,True
48818,131,5,24,True
48819,128,8,24,True
48820,132,4,24,True
48821,42,37,81,True
48824,47,36,77,True
48828,55,12,93,True
48831,49,12,99,True
48832,55,8,97,True
48834,83,7,70,True
48836,13,49,98,False
48857,72,12,76,True
48858,112,4,44,True
48860,117,12,31,True
48861,116,14,30,True
48862,113,17,30,True
48863,125,5,30,True
48864,125,5,30,True
48865,125,5,30,True
48866,107,23,30,True
48868,125,5,30,True
48869,112,18,30,True
48870,116,15,29,True
48871,127,4,29,True
48872,119,4,37,True
48873,125,22,13,True
48874,129,21,10,True
48875,120,30,10,True
48878,135,13,12,True
48879,127,22,11,True
48881,133,13,14,True
48882,127,20,13,True
48883,127,20,13,True
48884,131,15,14,True
48885,124,21,15,True
48886,136,9,15,True
48887,132,15,13,True
48888,136,11,13,True
48889,140,8,12,True
48890,111,6,43,True
48891,115,7,38,True
48894,112,13,35,True
48896,119,5,36,True
48897,120,4,36,True
